,id,slug,path,scraped
101,6801021,autism-awareness-watercolor-splatter-fabric-w-puzzle-piece-by-littlearrowdesign,/en/fabric/6801021-autism-awareness-watercolor-splatter-fabric-w-puzzle-piece-by-littlearrowdesign,0
102,7015015,rainbow-hearts-small-scale-by-hipkiddesigns,/en/fabric/7015015-rainbow-hearts-small-scale-by-hipkiddesigns,0
103,8589383,art-deco-swans-cream-on-black-by-katerhees,/en/fabric/8589383-art-deco-swans-cream-on-black-by-katerhees,0
104,5407314,ragdoll-scraps-small-by-elladorine,/en/fabric/5407314-ragdoll-scraps-small-by-elladorine,0
105,5694046,dogs-grey-fabric-cute-dog-design-best-dogs-grey-fabric-dogs-dog-breed-fabric-dog-print-dog-pattern-be-by-petfriendly,/en/fabric/5694046-dogs-grey-fabric-cute-dog-design-best-dogs-grey-fabric-dogs-dog-breed-fabric-dog-print-dog-pattern-be-by-petfriendly,0
106,6849224,8-baby-elephant-flowers-no-crown-mix-match-by-shopcabin,/en/fabric/6849224-8-baby-elephant-flowers-no-crown-mix-match-by-shopcabin,0
107,8641404,boba-tea-fabric-boba-fabric-kawaii-fabric-cute-fabric-food-fabric-bubble-tea-fabric-bubble-tea-kawaii-by-charlottewinter,/en/fabric/8641404-boba-tea-fabric-boba-fabric-kawaii-fabric-cute-fabric-food-fabric-bubble-tea-fabric-bubble-tea-kawaii-by-charlottewinter,0
108,703426,elephant-march-by-endemic,/en/fabric/703426-elephant-march-by-endemic,0
109,5111579,dean-s-big-money-by-midcoast_miscellany,/en/fabric/5111579-dean-s-big-money-by-midcoast_miscellany,0
110,2958920,soft-blue-cream-map-by-aftermyart,/en/fabric/2958920-soft-blue-cream-map-by-aftermyart,0
111,5969845,woodland-gnomes-by-shelbyallison,/en/fabric/5969845-woodland-gnomes-by-shelbyallison,0
112,2346968,golf-balls-yellow-tees-on-green-by-lauriekentdesigns,/en/fabric/2346968-golf-balls-yellow-tees-on-green-by-lauriekentdesigns,0
113,9456449,tea-time-wonderland-24-by-helenpdesigns,/en/fabric/9456449-tea-time-wonderland-24-by-helenpdesigns,0
114,3385678,cpr-by-bluevelvet,/en/fabric/3385678-cpr-by-bluevelvet,0
115,4670776,breast-cancer-pink-ribbon-on-black-background-by-furbuddy,/en/fabric/4670776-breast-cancer-pink-ribbon-on-black-background-by-furbuddy,0
116,1864046,blackest-black-solid-by-peacoquettedesigns,/en/fabric/1864046-blackest-black-solid-by-peacoquettedesigns,0
117,6573088,whale-s-song-by-katherine_quinn,/en/fabric/6573088-whale-s-song-by-katherine_quinn,0
118,7814825,black-white-camo-by-kimsa,/en/fabric/7814825-black-white-camo-by-kimsa,0
119,3092373,cosmos-by-shino_usagi,/en/fabric/3092373-cosmos-by-shino_usagi,0
120,7347042,silver-dollar-eucalyptus-by-hipkiddesigns,/en/fabric/7347042-silver-dollar-eucalyptus-by-hipkiddesigns,0
121,6826547,lucid-dreams-miss-mystic-large-by-zoe_ingram,/en/fabric/6826547-lucid-dreams-miss-mystic-large-by-zoe_ingram,0
122,5404472,toilet-paper-fight-by-abbieuproot,/en/fabric/5404472-toilet-paper-fight-by-abbieuproot,0
123,1377310,doodled-school-supplies-doodles-graffiti-children-math-science-80s-pen-pencil-drawings-notebook-paper-by-pennycandy,/en/fabric/1377310-doodled-school-supplies-doodles-graffiti-children-math-science-80s-pen-pencil-drawings-notebook-paper-by-pennycandy,0
124,4603369,watercolor-strawberries-summer-by-thislittlestreet,/en/fabric/4603369-watercolor-strawberries-summer-by-thislittlestreet,0
125,2840884,oh-io-black-by-olioh,/en/fabric/2840884-oh-io-black-by-olioh,0
126,6711180,cute-kawaii-sushi-by-penguinhouse,/en/fabric/6711180-cute-kawaii-sushi-by-penguinhouse,0
127,4150617,nod-house-bird-by-katerhees,/en/fabric/4150617-nod-house-bird-by-katerhees,0
128,5034396,solid-navy-by-littlearrowdesign,/en/fabric/5034396-solid-navy-by-littlearrowdesign,0
129,8985918,sunflowers-cream-7x7-by-indybloomdesign,/en/fabric/8985918-sunflowers-cream-7x7-by-indybloomdesign,1
130,6700072,bohemian-summer-by-camcreative,/en/fabric/6700072-bohemian-summer-by-camcreative,0
131,7216659,rainbow-stars-watercolor-abstract-small-by-crystal_walen,/en/fabric/7216659-rainbow-stars-watercolor-abstract-small-by-crystal_walen,0
132,8208210,friends-where-couch-by-danimelle,/en/fabric/8208210-friends-where-couch-by-danimelle,0
133,4161765,leopard-print-tan-natural-animal-cheetah-safari-print-by-charlottewinter,/en/fabric/4161765-leopard-print-tan-natural-animal-cheetah-safari-print-by-charlottewinter,0
134,4250617,rainbows-sky-by-erinanne,/en/fabric/4250617-rainbows-sky-by-erinanne,0
135,9709002,tiger-peacock-by-sveta_aho,/en/fabric/9709002-tiger-peacock-by-sveta_aho,0
136,5659928,loteria-on-black-by-jellymania,/en/fabric/5659928-loteria-on-black-by-jellymania,0
137,2002862,catholic-saints-images-collage-by-anette_teixeira,/en/fabric/2002862-catholic-saints-images-collage-by-anette_teixeira,0
138,3814158,math-lessons-by-robyriker,/en/fabric/3814158-math-lessons-by-robyriker,0
139,6857230,c2-camouflage-by-littlearrowdesign,/en/fabric/6857230-c2-camouflage-by-littlearrowdesign,0
140,9248045,beetle-by-mariospeedwagon,/en/fabric/9248045-beetle-by-mariospeedwagon,0
141,7142272,kawaii-medical-stuff-on-white-by-beckadoodles,/en/fabric/7142272-kawaii-medical-stuff-on-white-by-beckadoodles,0
142,6865922,coffee-cup-party-marshmallow-by-yesterdaycollection,/en/fabric/6865922-coffee-cup-party-marshmallow-by-yesterdaycollection,0
143,1113133,carina-nebula-edited-blue-by-azizakadyri,/en/fabric/1113133-carina-nebula-edited-blue-by-azizakadyri,0
144,6374454,among-dragons-by-miranema,/en/fabric/6374454-among-dragons-by-miranema,0
145,6602836,kawaii-frosty-beer-mug-blue-by-shortcake_studio,/en/fabric/6602836-kawaii-frosty-beer-mug-blue-by-shortcake_studio,0
146,2199423,virus-on-black-covid-19-scrubs-by-kightleys,/en/fabric/2199423-virus-on-black-covid-19-scrubs-by-kightleys,0
147,6896258,original-cute-occult-dark-by-pinkindetroit,/en/fabric/6896258-original-cute-occult-dark-by-pinkindetroit,0
148,8056685,ruth-bader-ginsgurg-rbg-white-by-katerhees,/en/fabric/8056685-ruth-bader-ginsgurg-rbg-white-by-katerhees,1
149,7681511,mr-golden-sun-by-anniemontgomerydesign,/en/fabric/7681511-mr-golden-sun-by-anniemontgomerydesign,0
150,5279418,navy-floral-by-crystal_walen,/en/fabric/5279418-navy-floral-by-crystal_walen,0
151,6569416,it-s-witchcraft-pattern-evovled-by-mischievousdesign,/en/fabric/6569416-it-s-witchcraft-pattern-evovled-by-mischievousdesign,0
152,5186536,ob-nurse-cervix-by-hot4tees_bg-yahoo_com,/en/fabric/5186536-ob-nurse-cervix-by-hot4tees_bg-yahoo_com,0
153,2558124,cute-nurse-love-black-by-jannasalak,/en/fabric/2558124-cute-nurse-love-black-by-jannasalak,0
154,3730688,william-morris-pimpernel-original-on-black-by-peacoquettedesigns,/en/fabric/3730688-william-morris-pimpernel-original-on-black-by-peacoquettedesigns,0
155,8676288,friends-where-couch-s-by-danimelle,/en/fabric/8676288-friends-where-couch-s-by-danimelle,0
156,9387946,gold-combs-scissors-black-background-by-charladraws,/en/fabric/9387946-gold-combs-scissors-black-background-by-charladraws,0
