,id,slug,path,title,size,price,priceCurrency,priceValidUntil
67,6058811,acoustic-guitars-by-jannasalak,/en/fabric/6058811-acoustic-guitars-by-jannasalak,Acoustic Guitars,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
68,9012014,jonah-s-whale-by-ivieclothco,/en/fabric/9012014-jonah-s-whale-by-ivieclothco,jonah's whale,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
69,2204162,virus-blue-scrubs-by-kightleys,/en/fabric/2204162-virus-blue-scrubs-by-kightleys,VIRUS Blue Scrubs,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
70,7068059,hamsters-on-light-blue-by-landpenguin,/en/fabric/7068059-hamsters-on-light-blue-by-landpenguin,Hamsters on Light Blue,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
71,5649370,gray-watercolor-herringbone-by-mrshervi,/en/fabric/5649370-gray-watercolor-herringbone-by-mrshervi,gray watercolor herringbone,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
72,1197446,ski-lifts-by-bluevelvet,/en/fabric/1197446-ski-lifts-by-bluevelvet,SKI LIFTS,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
73,7350122,american-triple-crown-winners-by-leroyj,/en/fabric/7350122-american-triple-crown-winners-by-leroyj,American Triple Crown Winners,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
74,7243056,baseballs-dark-blue-by-littlearrowdesign,/en/fabric/7243056-baseballs-dark-blue-by-littlearrowdesign,baseballs - dark blue,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
75,6815360,abstract-rainbow-soft-watercolour-paint-splatter-by-caja_design,/en/fabric/6815360-abstract-rainbow-soft-watercolour-paint-splatter-by-caja_design,Abstract Rainbow Soft Watercolour Paint & Splatter,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
76,8433849,black-white-leopard-leopard-print-ecru-tiny-scale-collection-leopard-spots-punk-rock-animal-print-by-borderlines,/en/fabric/8433849-black-white-leopard-leopard-print-ecru-tiny-scale-collection-leopard-spots-punk-rock-animal-print-by-borderlines,★ BLACK and WHITE LEOPARD - LEOPARD PRINT in ECRU ★ Tiny Scale / Collection : Leopard spots – Punk Rock Animal Print,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
77,8341105,traml-camo-woodland-by-mb4studio,/en/fabric/8341105-traml-camo-woodland-by-mb4studio,TRAML™ Camo - Woodland,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
78,7137786,genevieve-floral-by-crystal_walen,/en/fabric/7137786-genevieve-floral-by-crystal_walen,genevieve floral,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
79,2275816,game-world-by-chickoteria,/en/fabric/2275816-game-world-by-chickoteria,Game World,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
80,7939810,nautical-damask-by-katerhees,/en/fabric/7939810-nautical-damask-by-katerhees,Nautical Damask,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
81,10031369,hope-design-good-by-bound_textiles,/en/fabric/10031369-hope-design-good-by-bound_textiles,Hope - Design for good,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
82,5580363,watercolour-strawberries-by-emeryallardsmith,/en/fabric/5580363-watercolour-strawberries-by-emeryallardsmith,Watercolour Strawberries,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
83,2772127,happy-chihuahua-by-lil_creatures,/en/fabric/2772127-happy-chihuahua-by-lil_creatures,Happy Chihuahua,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
84,1392308,smile-world-smiles-back-by-bonnie_phantasm,/en/fabric/1392308-smile-world-smiles-back-by-bonnie_phantasm,Smile - and the world smiles back at you!,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
85,5749777,eyeglasses-by-kellyrenay,/en/fabric/5749777-eyeglasses-by-kellyrenay,Eyeglasses,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
86,6445895,busy-bees-watercolor-by-heatherdutton,/en/fabric/6445895-busy-bees-watercolor-by-heatherdutton,Busy Bees - Watercolor,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
87,6594616,library-card-scatter-by-lellobird,/en/fabric/6594616-library-card-scatter-by-lellobird,Library Card Scatter,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
88,6096792,max-s-map-charcoal-by-nouveau_bohemian,/en/fabric/6096792-max-s-map-charcoal-by-nouveau_bohemian,Max's Map (charcoal),"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
89,7269231,golden-retriever-cannon-beach-fabric-cute-dogs-on-beach-oregon-blue-by-petfriendly,/en/fabric/7269231-golden-retriever-cannon-beach-fabric-cute-dogs-on-beach-oregon-blue-by-petfriendly,golden retriever cannon beach fabric - cute dogs on the beach in oregon - blue,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
90,6842273,ambulance-on-grey-by-littlearrowdesign,/en/fabric/6842273-ambulance-on-grey-by-littlearrowdesign,ambulance on grey,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
91,2302934,blue-phone-boxes-black-swirls-on-white-small-swirls-by-risarocksit,/en/fabric/2302934-blue-phone-boxes-black-swirls-on-white-small-swirls-by-risarocksit,Blue Phone Boxes and Black Swirls on White - Small Swirls,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
92,5500782,isabelle-jr-s-island-getaway-by-loverlylibrarian,/en/fabric/5500782-isabelle-jr-s-island-getaway-by-loverlylibrarian,Isabelle Jr's Island Getaway,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
93,9925596,pastel-abstract-by-vagabond_folk_art,/en/fabric/9925596-pastel-abstract-by-vagabond_folk_art,Pastel Abstract,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
94,1440062,ocean-depth-map-by-ravynka,/en/fabric/1440062-ocean-depth-map-by-ravynka,Ocean depth map,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
95,6947878,gold-lips-on-graphite-grey-gray-gold-kiss-by-mlags,/en/fabric/6947878-gold-lips-on-graphite-grey-gray-gold-kiss-by-mlags,gold lips on graphite grey gray and gold kiss,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
96,5872295,fall-plaid-navy-rustic-woods-blue-white-by-littlearrowdesign,/en/fabric/5872295-fall-plaid-navy-rustic-woods-blue-white-by-littlearrowdesign,"fall plaid || navy, rustic woods blue, white","Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
97,7582998,leopard-rose-gold-spots-on-pink-by-paper_and_frill,/en/fabric/7582998-leopard-rose-gold-spots-on-pink-by-paper_and_frill,Leopard Rose Gold Spots on Pink,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
98,5566933,galaxy-far-far-away-1in-chibi-gray-by-studiofibonacci,/en/fabric/5566933-galaxy-far-far-away-1in-chibi-gray-by-studiofibonacci,A Galaxy Far Far Away - 1in chibi (gray),"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
99,6735421,jurassic-halloween-by-penguinhouse,/en/fabric/6735421-jurassic-halloween-by-penguinhouse,Jurassic halloween,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
100,9197320,halloween-stitch-orange-black-by-jacquelinehurd,/en/fabric/9197320-halloween-stitch-orange-black-by-jacquelinehurd,"Halloween Stitch, Orange & Black","Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
101,6808509,blue-stripes-watercolor-by-hipkiddesigns,/en/fabric/6808509-blue-stripes-watercolor-by-hipkiddesigns,Blue Stripes Watercolor,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
102,10322544,mid-century-lake-house-by-lellobird,/en/fabric/10322544-mid-century-lake-house-by-lellobird,Mid-Century Lake House,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
103,4110205,stars-slate-grey-stars-fabric-star-design-baby-nursery-fabric-andrea-lauren-by-andrea_lauren,/en/fabric/4110205-stars-slate-grey-stars-fabric-star-design-baby-nursery-fabric-andrea-lauren-by-andrea_lauren,stars // slate grey stars fabric star design baby nursery fabric andrea lauren,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
104,7141584,6-woodland-snow-white-by-hipkiddesigns,/en/fabric/7141584-6-woodland-snow-white-by-hipkiddesigns,"6"" Woodland Snow // White","Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
105,5534753,tropical-flamingo-by-pinkpineappledesign,/en/fabric/5534753-tropical-flamingo-by-pinkpineappledesign,Tropical Flamingo,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
106,7662668,mermaid-music-by-ceciliamok,/en/fabric/7662668-mermaid-music-by-ceciliamok,Mermaid Music,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
107,10318034,vacation-lake-maritime-by-brendazapotosky,/en/fabric/10318034-vacation-lake-maritime-by-brendazapotosky,Vacation at the Lake (Maritime),"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
